"New column"	"Reactions of pathway"
LPSSYN-PWY	RXN-19737 // RXN0-5127 // RXN0-5126 // RXN0-5125 // RXN0-5124 // RXN0-5123 // RXN0-5122 // RXN0-5121 // RXN0-5120 // RXN0-5061 // RXN0-5118 // MYRISTOYLACYLTRAN-RXN // LAUROYLACYLTRAN-RXN // KDOTRANS2-RXN // KDOTRANS-RXN // RXN-16804 // DARAB5PISOM-RXN // KDO-8PSYNTH-RXN // KDO-8PPHOSPHAT-RXN // CPM-KDOSYNTH-RXN // UDPNACETYLGLUCOSAMACYLTRANS-RXN // UDPACYLGLCNACDEACETYL-RXN // UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN // LIPIDXSYNTHESIS-RXN // TETRAACYLDISACC4KIN-RXN // LIPIDADISACCHARIDESYNTH-RXN
KDO-NAGLIPASYN-PWY	RXN-16804 // DARAB5PISOM-RXN // KDO-8PSYNTH-RXN // KDO-8PPHOSPHAT-RXN // CPM-KDOSYNTH-RXN // MYRPALMTRAN-RXN // PALMITOTRANS-RXN // MYRISTOYLACYLTRAN-RXN // LAUROYLACYLTRAN-RXN // UDPNACETYLGLUCOSAMACYLTRANS-RXN // UDPACYLGLCNACDEACETYL-RXN // UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN // LIPIDXSYNTHESIS-RXN // TETRAACYLDISACC4KIN-RXN // LIPIDADISACCHARIDESYNTH-RXN // KDOTRANS2-RXN // KDOTRANS-RXN
NAGLIPASYN-PWY	UDPNACETYLGLUCOSAMACYLTRANS-RXN // UDPACYLGLCNACDEACETYL-RXN // UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN // LIPIDXSYNTHESIS-RXN // TETRAACYLDISACC4KIN-RXN // LIPIDADISACCHARIDESYNTH-RXN
LIPA-CORESYN-PWY	RXN-19737 // RXN0-5127 // RXN0-5126 // RXN0-5125 // RXN0-5124 // RXN0-5123 // RXN0-5122 // RXN0-5121 // RXN0-5120 // RXN0-5061 // RXN0-5118
PWY0-1264	RXN0-5055 // BIOTIN-CARBOXYL-RXN // RXN-7101 // BIOTINLIG-RXN
KDO-LIPASYN-PWY	MYRISTOYLACYLTRAN-RXN // LAUROYLACYLTRAN-RXN
PHOSLIPSYN-PWY	RXN0-7012 // RXN-10462 // 1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN // PHOSPHASERDECARB-RXN // PHOSPHASERSYN-RXN // PHOSPHAGLYPSYN-RXN // CARDIOLIPSYN-RXN // PGPPHOSPHA-RXN // GLYC3PDEHYDROGBIOSYN-RXN // RXN-1381 // RXN-1623 // CDPDIGLYSYN-RXN
PWY-5669	PHOSPHASERDECARB-RXN // PHOSPHASERSYN-RXN
PWY-5667	GLYC3PDEHYDROGBIOSYN-RXN // RXN-1381 // RXN-1623 // CDPDIGLYSYN-RXN
PWY0-1319	RXN-10462 // CDPDIGLYSYN-RXN // 1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN // GLYC3PDEHYDROGBIOSYN-RXN
PWY-5668	PHOSPHAGLYPSYN-RXN // CARDIOLIPSYN-RXN // PGPPHOSPHA-RXN
PWY0-1545	RXN0-7012 // PGPPHOSPHA-RXN // PHOSPHAGLYPSYN-RXN
FASYN-INITIAL-PWY	MALONYL-ACPDECARBOX-RXN // RXN0-5055 // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN // ACP-S-ACETYLTRANSFER-RXN // 3-OXOACYL-ACP-SYNTH-BASE-RXN
PWY0-881	ENOYL-ACP-REDUCT-NADPH-RXN // 3-OXOACYL-ACP-SYNTH-RXN // 3-OXOACYL-ACP-REDUCT-RXN // ENOYL-ACP-REDUCT-NADH-RXN // 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN // MALONYL-ACPDECARBOX-RXN // RXN0-5055 // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN // ACP-S-ACETYLTRANSFER-RXN // 3-OXOACYL-ACP-SYNTH-BASE-RXN // RXN-9655 // 5.3.3.14-RXN // RXN0-2141 // RXN0-2142 // RXN0-2144 // RXN0-2145
FASYN-ELONG-PWY	ENOYL-ACP-REDUCT-NADPH-RXN // 3-OXOACYL-ACP-SYNTH-RXN // 3-OXOACYL-ACP-REDUCT-RXN // ENOYL-ACP-REDUCT-NADH-RXN // 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
PWY-4381	RXN0-5055 // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN
PWY-5966	ACP-S-ACETYLTRANSFER-RXN // 3-OXOACYL-ACP-SYNTH-BASE-RXN
PWY-5965	MALONYL-ACPDECARBOX-RXN // 3-OXOACYL-ACP-SYNTH-BASE-RXN
